sample_id,model,split,is_visually_confused,is_text_overwritten,trajectory_class,best_config,matched_grid_best_config
302-1,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
302-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
302-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,128f_151k,textonly
303-1,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
303-2,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
303-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
304-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,128f_151k,textonly
304-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
304-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
306-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,128f_151k,textonly
306-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
306-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
307-1,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
307-2,InternVL3-8B,V1_medium,1,0,oscillating,32f_151k,32f_151k
307-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
310-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
310-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
310-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
311-1,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
311-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
311-3,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
312-1,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
312-2,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
312-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
313-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
313-2,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
313-3,InternVL3-8B,V1_medium,1,0,oscillating,32f_151k,32f_151k
314-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
314-2,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
314-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
315-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
315-2,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
315-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
316-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
316-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
316-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,64f_151k,64f_151k
317-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,128f_151k,textonly
317-2,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
317-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
318-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
318-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
318-3,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
319-1,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
319-2,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
319-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
321-1,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
321-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
321-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
322-1,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
322-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
322-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
323-1,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
323-2,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
323-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
324-1,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
324-2,InternVL3-8B,V1_medium,1,0,oscillating,32f_151k,32f_151k
324-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
325-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
325-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
325-3,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
329-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
329-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
329-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
331-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
331-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
331-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
333-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
333-2,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
333-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,32f_151k,32f_151k
334-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
334-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
334-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
335-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
335-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
335-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
336-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
336-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
336-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
337-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
337-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
337-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
338-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
338-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
338-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
339-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
339-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
339-3,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
340-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
340-2,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
340-3,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
341-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
341-2,InternVL3-8B,V1_medium,1,0,oscillating,64f_151k,64f_151k
341-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
343-1,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
343-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
343-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
344-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
344-2,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
344-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
345-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
345-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
345-3,InternVL3-8B,V1_medium,1,0,oscillating,32f_151k,32f_151k
346-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
346-2,InternVL3-8B,V1_medium,1,0,oscillating,64f_151k,64f_151k
346-3,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
347-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
347-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
347-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
348-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
348-2,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
348-3,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
349-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
349-2,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
349-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
351-1,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
351-2,InternVL3-8B,V1_medium,0,0,always_correct,textonly,textonly
351-3,InternVL3-8B,V1_medium,0,0,monotonic_increasing,16f_151k,16f_151k
354-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
354-2,InternVL3-8B,V1_medium,1,1,oscillating,textonly,textonly
354-3,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
356-1,InternVL3-8B,V1_medium,0,0,monotonic_increasing,128f_151k,textonly
356-2,InternVL3-8B,V1_medium,1,0,oscillating,16f_151k,16f_151k
356-3,InternVL3-8B,V1_medium,1,1,monotonic_decreasing,textonly,textonly
357-1,InternVL3-8B,V1_medium,0,0,always_wrong,textonly,textonly
357-2,InternVL3-8B,V1_medium,1,0,oscillating,32f_151k,32f_151k
